parentGOslim,frequency
anatomical structure formation involved in morphogenesis,1
anatomical structure morphogenesis,1
cell cycle G2/M phase transition,1
cell cycle phase transition,1
cellular component assembly,2
cilium movement,2
cytoskeleton organization,1
DNA metabolic process,2
localization,2
microtubule-based process,3
mitotic cell cycle process,1
morphogenesis of an epithelium,1
movement of cell or subcellular component,2
mRNA metabolic process,1
multicellular organismal homeostasis,1
multicellular organismal process,2
negative regulation of cellular metabolic process,3
organelle organization,2
regulation of biological quality,1
regulation of cellular protein metabolic process,1
reproductive process,1
response to stimulus,2
ribonucleoprotein complex assembly,1
RNA metabolic process,1
RNA processing,1
RNA splicing, via transesterification reactions,1
