parentGOslim,frequency
anion transmembrane transporter activity,1
calcium ion binding,2
enzyme binding,1
guanyl-nucleotide exchange factor activity,1
magnesium ion binding,1
metal ion binding,4
molecular function regulator,1
mRNA binding,2
oxidoreductase activity,2
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor,2
purine ribonucleoside triphosphate binding,2
RNA binding,3
small molecule binding,2
structural constituent of ribosome,1
structural molecule activity,1
transcription coactivator activity,1
transcription coregulator activity,2
transcription regulator activity,2
transporter activity,1
