gene-chr,gene-start,gene-end,mRNA-start,mRNA-end,gene-ID,Genbank,Product,mRNALength
NC_035780.1,28961,33324,28961,33324,111126949,XM_022471938.1,UNC5C-like protein,4363
NC_035780.1,43111,66897,43111,66897,111110729,XM_022447324.1,FMRFamide receptor-like,23786
NC_035780.1,85606,95254,85606,95254,111112434,XM_022449924.1,homeobox protein Hox-B7-like,9648
NC_035780.1,99840,106460,99840,106460,111120752,XM_022461698.1,ribulose-phosphate 3-epimerase-like,6620
NC_035780.1,108305,110077,108305,110077,111128944,XM_022474921.1,mucin-19-like,1772
NC_035780.1,151859,157536,151859,157536,111128953,XM_022474931.1,GATA zinc finger domain-containing protein 14-like,5677
NC_035780.1,163809,183798,163809,183798,111105691,XM_022440054.1,uncharacterized LOC111105691,19989
NC_035780.1,164820,166793,164820,166793,111105685,XM_022440042.1,protein ANTAGONIST OF LIKE HETEROCHROMATIN PROTEIN 1-like,1973
NC_035780.1,190449,193594,190449,193594,111133554,XM_022482070.1,putative uncharacterized protein DDB_G0277407,3145
NC_035780.1,204243,207743,204243,207743,111125466,XM_022469388.1,homeobox protein 2-like,3500
NC_035780.1,214891,215322,214891,215322,111128964,XM_022474945.1,putative uncharacterized protein DDB_G0277407,431
NC_035780.1,219451,225076,219451,225076,111113860,XM_022452155.1,sulfotransferase family cytosolic 1B member 1-like,5625
NC_035780.1,227734,231964,227734,231964,111109550,XM_022445909.1,sulfotransferase family cytosolic 1B member 1-like,4230
NC_035780.1,232863,240144,232863,240144,111109753,XM_022446018.1,sulfotransferase family cytosolic 1B member 1-like,7281
NC_035780.1,245532,253042,245532,253042,111109452,XM_022445568.1,sulfotransferase 1C4-like,7510
NC_035780.1,258108,272839,258108,272839,111124802,XM_022468012.1,uncharacterized LOC111124802,14731
NC_035780.1,273173,278473,273173,278473,111101273,XM_022433714.1,mitochondrial inner membrane protein COX18-like,5300
NC_035780.1,281547,293861,281547,293861,111101250,XM_022433686.1,uncharacterized LOC111101250,12314
NC_035780.1,297131,311654,297131,311654,111101262,XM_022433705.1,eukaryotic translation initiation factor 4 gamma 2-like,14523
NC_035780.1,315522,340261,315522,340261,111133260,XM_022481470.1,tyrosine-protein phosphatase non-receptor type 5-like,24739
NC_035780.1,341638,349379,341638,349379,111113503,XM_022451800.1,F-box only protein 47-like,7741
NC_035780.1,349425,360957,349425,360957,111102393,XM_022435101.1,elongator complex protein 4-like,11532
NC_035780.1,366837,370670,366837,370670,111119377,XM_022459483.1,probable G-protein coupled receptor 83,3833
NC_035780.1,372174,376974,372174,376974,111101799,XM_022434407.1,cytochrome b-c1 complex subunit 7-like,4800
NC_035780.1,380454,392035,380454,392035,111117743,XM_022457001.1,Niemann-Pick C1 protein-like,11581
NC_035780.1,394983,409280,394983,409280,111117672,XM_022456873.1,Niemann-Pick C1 protein-like,14297
NC_035780.1,409477,415627,409477,415627,111114053,XM_022452346.1,peflin-like,6150
NC_035780.1,444907,453310,444907,453310,111109809,XM_022446052.1,peroxisome proliferator-activated receptor delta-like,8403
NC_035780.1,485479,500367,485479,500367,111102064,XM_022434719.1,gamma-glutamyltranspeptidase 1-like,14888
NC_035780.1,502147,508829,502147,508829,111112773,XM_022450550.1,potassium voltage-gated channel protein Shaw-like,6682
NC_035780.1,511797,526500,511797,526500,111135169,XM_022484983.1,glutamate receptor ionotropic,14703
NC_035780.1,526525,542191,526525,542191,111135172,XM_022484999.1,glutamate receptor ionotropic,15666
NC_035780.1,527850,534541,527850,534541,111135178,XM_022485012.1,uncharacterized LOC111135178,6691
NC_035780.1,544088,573497,544088,573497,111114201,XM_022452489.1,vacuolar protein sorting-associated protein 13B-like,29409
NC_035780.1,573630,585444,573630,585444,111114212,XM_022452506.1,coatomer subunit alpha-like,11814
NC_035780.1,604924,622983,604924,622983,111138315,XM_022490210.1,R3H domain-containing protein 1-like,18059
NC_035780.1,625970,662443,625970,662443,111138321,XM_022490233.1,dual specificity tyrosine-phosphorylation-regulated kinase 4-like,36473
NC_035780.1,663525,671754,663525,671754,111121058,XM_022462163.1,uncharacterized LOC111121058,8229
NC_035780.1,671959,675504,671959,675504,111138070,XM_022489874.1,uncharacterized LOC111138070,3545
NC_035780.1,682820,730982,682820,730982,111108931,XM_022445033.1,peptidyl-prolyl cis-trans isomerase FPR2-like,48162
NC_035780.1,686400,724737,686400,724736,111108878,XM_022444970.1,claspin-like,38336
NC_035780.1,731072,776437,731072,776437,111108901,XM_022445002.1,tumor protein p53-inducible protein 11-like,45365
NC_035780.1,777050,782032,777050,782032,111130095,XM_022476914.1,NADH-cytochrome b5 reductase 3-like,4982
NC_035780.1,786318,790538,786318,790538,111103204,XM_022436281.1,uncharacterized LOC111103204,4220
NC_035780.1,790827,792748,790827,792748,111103224,XM_022436309.1,uncharacterized LOC111103224,1921
NC_035780.1,794545,800915,794545,800915,111131060,XM_022478407.1,hercynylcysteine sulfoxide lyase-like,6370
NC_035780.1,802779,829369,802779,829369,111131074,XM_022478429.1,hercynylcysteine sulfoxide lyase-like,26590
NC_035780.1,831309,836828,831309,836828,111131094,XM_022478446.1,hercynylcysteine sulfoxide lyase-like,5519
NC_035780.1,841204,844397,841204,844397,111131052,XM_022478387.1,probable L-cysteine desulfhydrase,3193
NC_035780.1,848082,854748,848082,854748,111116497,XM_022455495.1,uncharacterized LOC111116497,6666
NC_035780.1,860083,865303,860083,865303,111115921,XM_022454956.1,uncharacterized LOC111115921,5220
NC_035780.1,866950,870208,866950,870208,111116467,XM_022455467.1,UPF0748 protein YngK-like,3258
NC_035780.1,873286,876502,873286,876502,111104259,XM_022438108.1,trithorax group protein osa-like,3216
NC_035780.1,884611,885996,884611,885996,111114340,XM_022452633.1,uncharacterized LOC111114340,1385
NC_035780.1,886637,897738,886637,897738,111134965,XM_022484587.1,uncharacterized LOC111134965,11101
NC_035780.1,904241,905671,904241,905671,111113087,XM_022451068.1,keratin,1430
